CPF,Data,Hora,PDV,Operadora,Categoria,Subcategoria,Produto,Preço de Custo,Preço,Quantidade,Valor Total,Cancelamentos,Tipo de Pagamento
590.877.768-52,2024-02-24,14:23:45,11,Juliana,Padaria,Biscoitos,Rosquinhas,3.9,5.27,7,36.89,Pagamento não autorizado,Cartão_Débito
342.756.226-76,2024-02-05,12:41:45,6,Gabriela,Móveis,Puffs,Puff,29.99,39.99,5,199.95,,Pix
210.982.205-12,2024-02-09,08:48:54,12,Clara,Decoração,Vasos,Vaso de Plantas,14.99,19.99,10,199.9,,Dinheiro
392.459.464-13,2024-02-15,14:33:27,2,Isabela,Moda e Vestuário,Feminino,Bolsa de Couro,44.99,69.99,5,349.95,,Pix
141.664.911-94,2024-02-11,08:03:22,4,Tatiana,Hortifruti,Frutas,Jabuticaba,12.99,15.99,9,143.91,,Pix
587.369.332-42,2024-02-22,15:01:48,3,Clara,Carnes,Bovina,Rabo de Boi,17.99,24.99,2,49.98,,Cartão_Débito
201.721.860-30,2024-02-01,20:37:36,2,Laura,Eletrodomésticos,Fritadeiras,Fritadeira Elétrica,99.99,129.99,2,259.98,,Cartão_Crédito
431.757.594-56,2024-02-21,10:45:55,18,Beatriz,Padaria,Bebidas Quentes,Café,5.0,6.75,5,33.75,,Cartão_Débito
665.151.734-62,2024-02-03,19:12:59,20,Fernanda,Hortifruti,Frutas,Uva,8.0,10.4,10,104.0,,Pix
873.378.695-66,2024-02-05,18:26:06,19,Alice,Moda e Vestuário,Feminino,Saia Lápis,22.99,34.99,2,69.98,,Pix
694.675.402-31,2024-02-21,10:36:37,2,Daniela,Hortifruti,Frutas,Limão Cravo,5.49,6.99,10,69.9,Estoque indisponível,Cartão_Crédito
100.712.763-91,2024-02-20,16:49:44,2,Sabrina,Carnes,Aves,Linguiça de Peru,13.99,19.99,1,19.99,,Cartão_Crédito
533.728.182-47,2024-02-25,10:06:48,19,Renata,Hortifruti,Frutas,Graviola,9.49,11.99,9,107.91,,Dinheiro
920.185.712-90,2024-02-28,10:42:00,6,Mariana,Lazer,Cadeiras de Praia,Cadeira de Praia,19.99,29.99,2,59.98,,Cartão_Crédito
306.430.762-67,2024-02-22,18:33:29,7,Helena,Higiene,Sabonetes,Gel de Banho,4.2,5.88,9,52.92,,Pix
980.428.758-21,2024-02-18,19:49:00,5,Helena,Carnes,Ovinos,Carré de Cordeiro,69.99,84.99,1,84.99,Problemas técnicos,Pix
317.150.685-91,2024-02-12,20:12:39,5,Olivia,Carnes,Bovina,Rabo de Boi,17.99,24.99,3,74.97,,Dinheiro
115.223.729-84,2024-02-24,13:09:47,20,Olivia,Hortifruti,Frutas,Jabuticaba,12.99,15.99,6,95.94,,Cartão_Crédito
219.825.129-96,2024-02-14,16:20:28,19,Laura,Sobremesas,Sorvetes,Sorvete,12.0,16.8,5,84.0,,Cartão_Débito
245.828.144-68,2024-02-09,11:42:36,7,Márcia,Hortifruti,Frutas,Figo,11.99,14.99,7,104.93,,Dinheiro
669.390.555-88,2024-02-05,18:24:16,11,Alice,Carnes,Aves,Linguiça Toscana de Frango,17.99,24.99,4,99.96,,Pix
638.495.598-11,2024-02-03,21:58:12,8,Juliana,Moda e Vestuário,Masculino,Sapato Social,49.99,79.99,4,319.96,,Cartão_Débito
335.584.293-25,2024-02-26,19:25:08,19,Tatiana,Tecnologia,Caixas de Som,Smart Speaker,79.99,99.99,8,799.92,,Cartão_Crédito
384.304.622-98,2024-02-29,20:16:25,13,Gabriela,Hortifruti,Frutas,Manga Tommy,4.99,6.49,1,6.49,,Cartão_Débito
895.404.886-70,2024-02-16,18:42:12,15,Mariana,Hortifruti,Frutas,Mamão Papaia,3.79,4.99,3,14.97,,Cartão_Crédito
864.417.627-46,2024-02-29,15:42:55,1,Mariana,Móveis,Cadeiras,Cadeira de Escritório,119.99,149.99,10,1499.9,,Cartão_Débito
448.930.304-23,2024-02-11,15:38:18,13,Ana,Tecnologia,Acessórios,Carregador Portátil,19.99,29.99,3,89.97,,Pix
301.733.803-79,2024-02-22,09:03:43,5,Isabela,Hortifruti,Legumes,Tomate,3.49,4.54,10,45.4,,Cartão_Débito
544.426.785-14,2024-02-02,14:21:44,14,Isabela,Higiene,Sabonetes,Gel de Banho,4.2,5.88,5,29.4,,Cartão_Crédito
252.992.219-20,2024-02-22,19:29:50,8,Laura,Iluminação,Spots,Spot de Teto,19.99,29.99,7,209.93,,Cartão_Débito
793.335.281-70,2024-02-21,20:46:29,13,Helena,Hortifruti,Frutas,Maçã,4.99,6.49,4,25.96,,Cartão_Débito
694.561.579-92,2024-02-11,16:31:42,3,Helena,Moda e Vestuário,Feminino,Shorts Jeans,16.99,24.99,2,49.98,,Cartão_Débito
364.799.810-94,2024-02-29,10:48:20,15,Gabriela,Moda e Vestuário,Masculino,Terno Slim,99.99,149.99,3,449.97,,Pix
291.759.743-62,2024-02-04,10:18:56,8,Natália,Padaria,Pães,Pão Integral,4.5,6.08,6,36.48,,Pix
527.402.552-75,2024-02-04,13:32:22,4,Isabela,Carnes,Aves,Peito de Codorna,29.99,39.99,5,199.95,,Cartão_Débito
434.176.780-13,2024-02-16,09:52:46,13,Gabriela,Hortifruti,Frutas,Limão,3.5,4.55,6,27.3,,Cartão_Crédito
178.858.903-72,2024-02-02,08:31:58,2,Clara,Eletrodomésticos,Panelas Elétricas,Panela Elétrica de Arroz,69.99,89.99,5,449.95,,Cartão_Débito
568.833.933-19,2024-02-19,19:14:07,19,Mariana,Carnes,Ovinos,Carré de Cordeiro,69.99,84.99,4,339.96,,Pix
431.861.925-28,2024-02-05,19:54:53,1,Fernanda,Hortifruti,Frutas,Lichia,9.99,12.49,5,62.45,,Dinheiro
796.173.758-83,2024-02-05,18:57:17,20,Ana,Moda e Vestuário,Masculino,Calça Cargo,29.99,44.99,10,449.9,Pagamento não autorizado,Cartão_Crédito
101.921.615-63,2024-02-13,20:48:43,14,Renata,Higiene,Desodorantes,Desodorante,8.8,12.32,9,110.88,,Dinheiro
738.908.655-99,2024-02-05,10:26:42,13,Renata,Hortifruti,Frutas,Banana Prata,2.99,3.99,10,39.9,,Dinheiro
986.606.420-90,2024-02-17,19:12:24,7,Carla,Hortifruti,Frutas,Manga Tommy,4.99,6.49,5,32.45,,Cartão_Crédito
504.505.123-48,2024-02-21,10:37:45,6,Beatriz,Padaria,Bebidas Quentes,Café,5.0,6.75,9,60.75,,Cartão_Débito
148.670.609-47,2024-02-14,17:58:22,10,Olivia,Hortifruti,Frutas,Cereja Chilena,44.99,49.99,7,349.93,,Dinheiro
983.806.686-14,2024-02-24,10:04:59,4,Laura,Moda e Vestuário,Masculino,Camisa Xadrez,19.99,29.99,7,209.93,,Pix
999.874.357-22,2024-02-15,15:49:34,2,Renata,Snacks,Salgadinhos,Pipoca,2.0,2.9,10,29.0,,Dinheiro
560.191.178-44,2024-02-24,10:27:24,4,Laura,Carnes,Aves,Fígado de Frango,7.99,12.99,1,12.99,,Pix
136.270.109-48,2024-02-20,09:06:20,8,Natália,Tecnologia,Câmeras,Câmera Fotográfica,249.99,299.99,7,2099.93,,Cartão_Débito
966.188.553-92,2024-02-13,11:41:40,2,Alice,Moda e Vestuário,Masculino,Jaqueta de Couro,89.99,129.99,3,389.97,,Cartão_Crédito
388.744.797-77,2024-02-28,20:00:17,18,Sabrina,Moda e Vestuário,Feminino,Vestido Longo,54.99,79.99,6,479.94,,Pix
328.514.187-95,2024-02-24,09:15:22,5,Renata,Moda e Vestuário,Masculino,Blazer Slim,59.99,89.99,9,809.91,,Pix
801.709.863-30,2024-02-26,18:58:01,9,Helena,Celulares,Smartphones,Smartphone,1799.99,2249.99,3,6749.97,,Cartão_Crédito
916.991.450-85,2024-02-16,18:43:27,17,Isabela,Moda e Vestuário,Feminino,Vestido Rodado,36.99,54.99,4,219.96,,Pix
989.970.518-24,2024-02-06,18:54:46,2,Gabriela,Hortifruti,Frutas,Mamão,5.5,7.15,2,14.3,,Cartão_Crédito
172.267.801-79,2024-02-03,10:22:06,10,Sabrina,Celulares,Tablets,Tablet,899.99,1124.99,8,8999.92,,Cartão_Crédito
488.218.555-87,2024-02-09,09:13:11,6,Helena,Laticínios,Leites,Leite,2.5,3.38,10,33.8,,Cartão_Débito
682.514.636-24,2024-02-21,17:06:56,2,Beatriz,Eletrodomésticos,Panelas Elétricas,Panela Elétrica de Arroz,69.99,89.99,10,899.9,,Pix
565.829.933-94,2024-02-17,13:42:55,10,Tatiana,Lazer,Brinquedos,Cama Elástica,149.99,199.99,1,199.99,Desconto recusado,Cartão_Crédito
617.463.327-46,2024-02-19,17:27:39,7,Márcia,Carnes,Bovina,Alcatra,46.99,64.99,4,259.96,,Cartão_Crédito
163.212.729-16,2024-02-18,20:04:34,11,Natália,Móveis,Guarda-roupas,Guarda-roupa,299.99,399.99,5,1999.95,,Pix
410.599.208-44,2024-02-20,08:19:44,3,Fernanda,Padaria,Bolos,Torta de Morango,22.0,29.7,5,148.5,,Cartão_Débito
929.319.443-86,2024-02-24,13:38:56,11,Laura,Carnes,Bovina,Fraldinha,31.99,44.99,4,179.96,,Pix
940.861.628-63,2024-02-28,09:42:47,17,Helena,Limpeza,Desinfetantes,Desinfetante,6.8,10.2,5,51.0,,Dinheiro
629.877.800-47,2024-02-02,14:00:16,10,Juliana,Moda e Vestuário,Feminino,Sandália Rasteira,26.99,39.99,3,119.97,Problemas técnicos,Pix
549.732.591-96,2024-02-06,09:09:51,14,Carla,Carnes,Aves,Sobrecoxa de Frango,21.99,29.99,7,209.93,,Cartão_Débito
171.104.489-15,2024-02-05,10:45:01,3,Isabela,Higiene,Escovas de Dentes,Escova de Dentes,3.9,5.46,4,21.84,,Cartão_Débito
664.929.905-25,2024-02-17,09:47:03,11,Helena,Moda e Vestuário,Masculino,Camiseta Básica,12.99,19.99,2,39.98,,Dinheiro
871.741.871-34,2024-02-05,13:24:08,11,Tatiana,Higiene,Escovas de Dentes,Escova de Dentes,3.9,5.46,2,10.92,,Cartão_Crédito
148.670.609-47,2024-02-24,08:58:34,13,Daniela,Lazer,Piscinas,Piscina Inflável,79.99,99.99,10,999.9,,Pix
914.813.363-74,2024-02-15,09:46:26,2,Laura,Carnes,Aves,Sobrecoxa de Frango,21.99,29.99,10,299.9,,Cartão_Crédito
622.132.519-69,2024-02-24,14:17:52,9,Gabriela,Moda e Vestuário,Masculino,Camisa Xadrez,19.99,29.99,7,209.93,,Cartão_Crédito
335.347.580-14,2024-02-15,19:30:12,2,Olivia,Higiene,Escovas de Dentes,Escova de Dentes,3.9,5.46,6,32.76,,Cartão_Débito
650.996.699-43,2024-02-03,12:09:26,18,Alice,Hortifruti,Frutas,Cereja Americana,49.99,54.99,9,494.91,,Pix
349.660.796-55,2024-02-03,11:51:14,4,Natália,Carnes,Aves,Pato Inteiro,74.99,89.99,7,629.93,,Cartão_Crédito
645.261.425-20,2024-02-05,19:47:11,10,Clara,Carnes,Bovina,Alcatra,46.99,64.99,9,584.91,,Dinheiro
667.304.336-97,2024-02-18,12:16:55,15,Isabela,Carnes,Aves,Peito de Pato,49.99,64.99,10,649.9,,Cartão_Crédito
548.306.641-60,2024-02-14,11:04:22,19,Mariana,Moda e Vestuário,Masculino,Cinto de Couro,12.99,19.99,1,19.99,,Cartão_Crédito
503.272.959-40,2024-02-01,13:30:39,5,Beatriz,Carnes,Bovina,Maminha,44.99,62.99,6,377.94,Pagamento não autorizado,Cartão_Débito
534.543.494-21,2024-02-05,12:11:55,5,Clara,Carnes,Bovina,Lagarto,44.99,59.99,4,239.96,,Dinheiro
373.653.395-17,2024-02-10,09:41:22,10,Tatiana,Hortifruti,Frutas,Graviola,9.49,11.99,6,71.94,,Pix
505.485.572-92,2024-02-23,21:21:06,11,Helena,Hortifruti,Frutas,Cereja,24.99,29.99,8,239.92,,Cartão_Crédito
730.580.170-86,2024-02-09,13:37:18,6,Ana,Carnes,Suína,Orelha de Porco,9.99,14.99,7,104.93,,Dinheiro
414.440.144-11,2024-02-27,17:10:04,4,Isabela,Moda e Vestuário,Masculino,Tênis Esportivo,44.99,69.99,4,279.96,,Dinheiro
646.595.925-83,2024-02-22,13:51:57,17,Ana,Moda e Vestuário,Feminino,Saia Lápis,22.99,34.99,2,69.98,,Cartão_Débito
855.481.468-24,2024-02-02,10:20:06,19,Juliana,Carnes,Bovina,Músculo,24.99,34.99,10,349.9,,Dinheiro
831.659.731-80,2024-02-14,20:52:28,11,Gabriela,Hortifruti,Frutas,Melão,6.49,7.99,10,79.9,,Pix
208.158.844-18,2024-02-08,13:20:11,9,Beatriz,Moda e Vestuário,Feminino,Vestido Floral,39.99,59.99,9,539.91,,Cartão_Crédito
169.478.686-43,2024-02-22,21:22:46,15,Fernanda,Eletrodomésticos,Aspiradores,Aspirador de Pó,149.99,199.99,3,599.97,,Dinheiro
918.148.536-81,2024-02-01,20:42:01,1,Carla,Tecnologia,Acessórios,Cabo HDMI,7.99,9.99,3,29.97,Desconto recusado,Dinheiro
871.741.871-34,2024-02-25,13:32:35,14,Márcia,Carnes,Bovina,Mocotó,21.99,29.99,5,149.95,,Dinheiro
165.470.316-69,2024-02-26,09:16:40,2,Beatriz,Hortifruti,Frutas,Nectarina,7.99,9.99,10,99.9,,Cartão_Débito
649.653.395-23,2024-02-17,08:15:16,11,Clara,Carnes,Ovinos,Contrafilé de Cordeiro,54.99,69.99,7,489.93,,Cartão_Débito
376.451.877-47,2024-02-29,20:44:30,11,Daniela,Hortifruti,Frutas,Maçã,4.99,6.49,7,45.43,,Dinheiro
161.229.689-37,2024-02-19,13:37:44,9,Mariana,Carnes,Bovina,Contrafilé,52.99,74.99,3,224.97,,Cartão_Débito
162.393.609-14,2024-02-10,19:32:23,17,Beatriz,Bebidas,Alcoólicas,Cerveja,5.9,7.67,9,69.03,,Cartão_Débito
849.774.176-86,2024-02-09,11:15:15,7,Helena,Carnes,Aves,Pato Inteiro,74.99,89.99,1,89.99,,Cartão_Débito
